seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_date_day,delay_days,processing_time_days,is_feasible,status
690,143,H1087,9,BQM4504A,Bay45-S-4,135,161,162,0,26,True,ALLOCATED
691,153,H1088,60,PPT0858A,Bay8-N-16,135,161,162,0,26,True,ALLOCATED
692,154,H1088,8,BQM4503A,Bay45-S-3,291,330,160,170,39,True,ALLOCATED
693,322,H1088,31,PPT1007A,Bay10-S-13,110,149,159,0,39,True,ALLOCATED
694,332,H1088,36,PPT1012A,Bay10-S-23,110,149,159,0,39,True,ALLOCATED
695,221,H1088,41,PPT1054A,Bay10-N-8,130,142,173,0,12,True,ALLOCATED
696,221,H1088,44,PPT1057A,Bay10-N-14,130,142,173,0,12,True,ALLOCATED
697,683,H1088,37,PPT1013A,Bay10-S-25,81,105,161,0,24,True,ALLOCATED
698,693,H1088,45,PPT1058A,Bay10-N-16,81,105,161,0,24,True,ALLOCATED
699,144,H1087,7,BQM4853A,Bay48-N-3,286,324,158,166,38,True,ALLOCATED
700,143,H1087,30,PPT1006A,Bay10-S-11,104,130,159,0,26,True,ALLOCATED
701,153,H1087,37,PPT1013A,Bay10-S-25,105,131,159,0,26,True,ALLOCATED
702,824,H1087,13,PPT0003A,0西-5,111,144,159,0,33,True,ALLOCATED
703,834,H1087,39,PPT1052A,Bay10-N-4,110,143,159,0,33,True,ALLOCATED
704,163,H1087,47,PPT1060A,Bay10-N-20,121,143,160,0,22,True,ALLOCATED
705,123,H1087,19,PPT0055A,0东-10,109,137,155,0,28,True,ALLOCATED
706,123,H1087,20,PPT0056A,0东-12,109,137,155,0,28,True,ALLOCATED
707,133,H1088,57,PPT0810A,Bay8-S-19,114,142,155,0,28,True,ALLOCATED
708,133,H1088,65,PPT0864A,Bay8-N-28,114,142,155,0,28,True,ALLOCATED
709,173,H1088,12,PPT0002A,0西-3,121,143,159,0,22,True,ALLOCATED
710,834,H1088,7,BQM4853A,Bay48-N-3,390,415,158,257,25,True,ALLOCATED
711,103,H1088,2,BQM4803A,Bay48-S-3,326,360,154,206,34,True,ALLOCATED
712,134,H1088,45,PPT1058A,Bay10-N-16,105,149,154,0,44,True,ALLOCATED
713,124,H1088,16,PPT0052A,0东-4,109,153,154,0,44,True,ALLOCATED
714,823,H1088,18,PPT0054A,0东-8,124,155,159,0,31,True,ALLOCATED
715,833,H1087,3,BQM4808A,Bay48-S-8,124,155,159,0,31,True,ALLOCATED
716,834,H1087,8,BQM4503A,Bay45-S-3,365,391,156,235,26,True,ALLOCATED
717,182,H1087,58,PPT0811A,Bay8-S-21,132,151,160,0,19,True,ALLOCATED
718,192,H1087,14,PPT0004A,0西-7,133,152,160,0,19,True,ALLOCATED
719,801,H1087,11,PPT0001A,0西-1,105,138,153,0,33,True,ALLOCATED
